date,^FTSE
2017-09-03,7411.47
2017-09-04,7372.92
2017-09-05,7354.13
2017-09-06,7396.98
2017-09-07,7377.6
2017-09-10,7413.59
2017-09-11,7400.69
2017-09-12,7379.7
2017-09-13,7295.39
2017-09-14,7215.47
2017-09-17,7253.28
2017-09-18,7275.25
2017-09-19,7271.95
2017-09-20,7263.9
2017-09-21,7310.64
2017-09-24,7301.29
2017-09-25,7285.74
2017-09-26,7313.51
2017-09-27,7322.82
2017-09-28,7372.76
2017-10-01,7438.84
2017-10-02,7468.11
2017-10-03,7467.58
2017-10-04,7507.99
2017-10-05,7522.87
2017-10-08,7507.89
2017-10-09,7538.27
2017-10-10,7533.81
2017-10-11,7556.24
2017-10-12,7535.44
2017-10-15,7526.97
2017-10-16,7516.17
2017-10-17,7542.87
2017-10-18,7523.04
2017-10-19,7523.23
2017-10-22,7524.45
2017-10-23,7526.54
2017-10-24,7447.21
2017-10-25,7486.5
2017-10-26,7505.03
2017-10-30,7487.81
2017-10-31,7493.08
2017-11-01,7487.96
2017-11-02,7555.32
2017-11-03,7560.35
2017-11-06,7562.28
2017-11-07,7513.11
2017-11-08,7529.72
2017-11-09,7484.1
2017-11-10,7432.99
2017-11-13,7415.18
2017-11-14,7414.42
2017-11-15,7372.61
2017-11-16,7386.94
2017-11-17,7380.68
2017-11-20,7389.46
2017-11-21,7411.34
2017-11-22,7419.02
2017-11-23,7417.24
2017-11-24,7409.64
2017-11-27,7383.9
2017-11-28,7460.65
2017-11-29,7393.56
2017-11-30,7326.67
2017-12-01,7300.49
2017-12-04,7338.97
2017-12-05,7327.5
2017-12-06,7348.03
2017-12-07,7320.75
2017-12-08,7393.96
2017-12-11,7453.48
2017-12-12,7500.41
2017-12-13,7496.51
2017-12-14,7448.12
2017-12-15,7490.57
2017-12-18,7537.01
2017-12-19,7544.09
2017-12-20,7525.22
2017-12-21,7603.98
2017-12-22,7592.66
2017-12-27,7620.68
2017-12-28,7622.88
2017-12-29,7687.77
2018-01-02,7648.1
2018-01-03,7671.11
2018-01-04,7695.88
2018-01-05,7724.22
2018-01-08,7696.51
2018-01-09,7731.02
2018-01-10,7748.51
2018-01-11,7762.94
2018-01-12,7778.64
2018-01-15,7769.14
2018-01-16,7755.93
2018-01-17,7725.43
2018-01-18,7700.96
2018-01-19,7730.79
2018-01-22,7715.44
2018-01-23,7731.83
2018-01-24,7643.43
2018-01-25,7615.84
2018-01-26,7665.54
2018-01-29,7671.53
2018-01-30,7587.98
2018-01-31,7533.55
2018-02-01,7490.39
2018-02-02,7443.43
2018-02-05,7334.98
2018-02-06,7141.4
2018-02-07,7279.42
2018-02-08,7170.69
2018-02-09,7092.43
2018-02-12,7177.06
2018-02-13,7168.01
2018-02-14,7213.97
2018-02-15,7234.81
2018-02-16,7294.7
2018-02-19,7247.66
2018-02-20,7246.77
2018-02-21,7281.57
2018-02-22,7252.39
2018-02-23,7244.41
2018-02-26,7289.58
2018-02-27,7282.45
2018-02-28,7231.91
2018-03-01,7175.64
2018-03-02,7069.9
2018-03-05,7115.98
2018-03-06,7146.75
2018-03-07,7157.84
2018-03-08,7203.24
2018-03-09,7224.51
2018-03-12,7214.76
2018-03-13,7138.78
2018-03-14,7132.69
2018-03-15,7139.76
2018-03-16,7164.14
2018-03-19,7042.93
2018-03-20,7061.27
2018-03-21,7038.97
2018-03-22,6952.59
2018-03-23,6921.94
2018-03-25,6888.69
2018-03-26,7000.14
2018-03-27,7044.74
2018-03-28,7056.61
2018-04-02,7030.46
2018-04-03,7034.01
2018-04-04,7199.5
2018-04-05,7183.64
2018-04-08,7194.75
2018-04-09,7266.75
2018-04-10,7257.14
2018-04-11,7258.34
2018-04-12,7264.56
2018-04-15,7198.2
2018-04-16,7226.05
2018-04-17,7317.34
2018-04-18,7328.92
2018-04-19,7368.17
2018-04-22,7398.87
2018-04-23,7425.4
2018-04-24,7379.32
2018-04-25,7421.43
2018-04-26,7502.21
2018-04-29,7509.3
2018-04-30,7520.36
2018-05-01,7543.2
2018-05-02,7502.69
2018-05-03,7567.14
2018-05-07,7565.75
2018-05-08,7662.52
2018-05-09,7700.97
2018-05-10,7724.55
2018-05-13,7710.98
2018-05-14,7722.98
2018-05-15,7734.2
2018-05-16,7787.97
2018-05-17,7778.79
2018-05-20,7859.17
2018-05-21,7877.45
2018-05-22,7788.44
2018-05-23,7716.74
2018-05-24,7730.28
2018-05-28,7632.64
2018-05-29,7689.57
2018-05-30,7678.2
2018-05-31,7701.77
2018-06-03,7741.29
2018-06-04,7686.8
2018-06-05,7712.37
2018-06-06,7704.4
2018-06-07,7681.07
2018-06-10,7737.43
2018-06-11,7703.81
2018-06-12,7703.71
2018-06-13,7765.79
2018-06-14,7633.91
2018-06-17,7631.33
2018-06-18,7603.85
2018-06-19,7627.4
2018-06-20,7556.44
2018-06-21,7682.27
2018-06-24,7509.84
2018-06-25,7537.92
2018-06-26,7621.69
2018-06-27,7615.63
2018-06-28,7636.93
2018-07-01,7547.85
2018-07-02,7593.29
2018-07-03,7573.09
2018-07-04,7603.22
2018-07-05,7617.7
2018-07-08,7687.99
2018-07-09,7692.04
2018-07-10,7591.96
2018-07-11,7651.33
2018-07-12,7661.87
2018-07-15,7600.45
2018-07-16,7626.33
2018-07-17,7676.28
2018-07-18,7683.97
2018-07-19,7678.79
2018-07-22,7655.79
2018-07-23,7709.05
2018-07-24,7658.26
2018-07-25,7663.17
2018-07-26,7701.31
2018-07-29,7700.85
2018-07-30,7748.76
2018-07-31,7652.91
2018-08-01,7575.93
2018-08-02,7659.1
2018-08-05,7663.78
2018-08-06,7718.48
2018-08-07,7776.65
2018-08-08,7741.77
2018-08-09,7667.01
2018-08-12,7642.45
2018-08-13,7611.64
2018-08-14,7497.87
2018-08-15,7556.38
2018-08-16,7558.59
2018-08-19,7591.26
2018-08-20,7565.7
2018-08-21,7574.24
2018-08-22,7563.22
2018-08-23,7577.49
